Occ_yr,dev1,dev2,dev3,dev4,dev5,dev6,dev7,dev8,dev9,dev10
2003,357848,766940,610542,482940,527326,574398,146342,139950,227229,67948
2004,352118,884021,933894,1183289,445745,320996,527804,266172,425046,
2005,290507,1001799,926219,1016654,750816,146923,495992,280405,,
2006,310608,1108250,776189,1562400,272482,352053,206286,,,
2007,443160,693190,991983,769488,504851,470639,,,,
2008,396132,937085,847498,805037,705960,,,,,
2009,440832,847631,1131398,1063269,,,,,,
2010,359480,1061648,1443370,,,,,,,
2011,376686,986608,,,,,,,,
2012,344014,,,,,,,,,
